*******Working on gbb20001000

 ====== Comparing SRGbbB :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper    Error
            size(bjets) == 1 ? mtminbjets1 >= 130 : ALL :  98.40     100.00   -1.60
                                            meff > 2500 :  52.25     72.69    -28.12
                                              MET > 550 :  86.25     85.55     0.81
             size(largejets) >= 4 ? mjsum4 >= 200 : ALL :  99.83     90.01     10.91
             size(largejets) == 3 ? mjsum3 >= 200 : ALL :  99.85     100.00   -0.15
             size(largejets) == 2 ? mjsum2 >= 200 : ALL :  99.95     100.00   -0.05
             size(largejets) == 1 ? mjsum1 >= 200 : ALL :  100.00    100.00    0.00

 ====== Comparing SRGtbM :

 *** Cumulative comparison - DF:
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  27.72     27.72     0.00
                                              MET > 200 :  25.97     27.57    -5.79
                                     Size(leptons) == 0 :  18.45     15.93     15.83
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  14.33     12.08     18.59
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  14.32     12.08     18.58
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  14.32     12.08     18.58
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  14.32     12.08     18.58
            size(bjets) >= 3 ? mtminbjets3 >= 130 : ALL :  13.49     10.95     23.23
            size(bjets) == 2 ? mtminbjets2 >= 130 : ALL :  12.94     10.95     18.20
            size(bjets) == 1 ? mtminbjets1 >= 130 : ALL :  12.74     10.95     16.31
                                        Size(jets) >= 6 :  12.25     9.54      28.45
                                       Size(bjets) >= 4 :  1.99      3.82     -47.81
                                            meff > 2000 :  1.66      3.52     -52.91
                                              MET > 550 :  1.28      2.76     -53.58
             size(largejets) >= 4 ? mjsum4 >= 200 : ALL :  1.28      2.50     -48.94
             size(largejets) == 3 ? mjsum3 >= 200 : ALL :  1.28      2.50     -48.94
             size(largejets) == 2 ? mjsum2 >= 200 : ALL :  1.28      2.50     -48.98
             size(largejets) == 1 ? mjsum1 >= 200 : ALL :  1.28      2.50     -48.98

 *** Relative comparison:
(In the first line no comparison is done.)
                                              Selection :      CL    Paper     Error
                                                    all :  29252.00  29252.00  0.00
                                        Derivation Skim :  100.00    100.00    0.00
                                              MET > 200 :  93.70     99.46    -5.79
                                     Size(leptons) == 0 :  71.04     57.78     22.95
              size(jets) >= 4 ? dphi4jmin4 >= 0.4 : ALL :  77.64     75.83     2.38
              size(jets) == 3 ? dphi4jmin3 >= 0.4 : ALL :  99.99     100.00   -0.01
              size(jets) == 2 ? dphi4jmin2 >= 0.4 : ALL :  100.00    100.00    0.00
              size(jets) == 1 ? dphi4jmin1 >= 0.4 : ALL :  100.00    100.00    0.00
            size(bjets) >= 3 ? mtminbjets3 >= 130 : ALL :  94.20     90.65     3.93
